CustomDataset: images.shape=(18900, 3, 128, 128), labels.shape=(18900,)
Epoch 107/500, Train Loss: -5.9797, Val Loss: -5.8135, Recon MSE: 0.000985, Probing Acc: 0.0643, Score: 0.015322
Epoch 108/500, Train Loss: -5.9787, Val Loss: -5.6041, Recon MSE: 0.001009, Probing Acc: 0.0643, Score: 0.015699
Epoch 109/500, Train Loss: -5.9832, Val Loss: -5.8120, Recon MSE: 0.000951, Probing Acc: 0.0680, Score: 0.013983
Epoch 110/500, Train Loss: -5.9859, Val Loss: -5.7771, Recon MSE: 0.000961, Probing Acc: 0.0738, Score: 0.013020
Epoch 111/500, Train Loss: -5.9922, Val Loss: -5.7427, Recon MSE: 0.000961, Probing Acc: 0.0632, Score: 0.015204
Epoch 112/500, Train Loss: -5.9952, Val Loss: -5.8396, Recon MSE: 0.000977, Probing Acc: 0.0733, Score: 0.013329
Epoch 113/500, Train Loss: -6.0020, Val Loss: -5.5667, Recon MSE: 0.000949, Probing Acc: 0.0667, Score: 0.014231
Epoch 114/500, Train Loss: -6.0026, Val Loss: -5.8236, Recon MSE: 0.000955, Probing Acc: 0.0704, Score: 0.013576
Epoch 115/500, Train Loss: -5.9993, Val Loss: -5.8010, Recon MSE: 0.000949, Probing Acc: 0.0749, Score: 0.012675
Epoch 116/500, Train Loss: -6.0097, Val Loss: -5.7562, Recon MSE: 0.000955, Probing Acc: 0.0659, Score: 0.014496
Epoch 117/500, Train Loss: -6.0109, Val Loss: -5.8985, Recon MSE: 0.000943, Probing Acc: 0.0770, Score: 0.012247
Epoch 118/500, Train Loss: -6.0136, Val Loss: -5.8259, Recon MSE: 0.000962, Probing Acc: 0.0696, Score: 0.013826
Epoch 119/500, Train Loss: -6.0198, Val Loss: -5.7953, Recon MSE: 0.000965, Probing Acc: 0.0735, Score: 0.013123
Epoch 120/500, Train Loss: -6.0207, Val Loss: -5.6615, Recon MSE: 0.000978, Probing Acc: 0.0659, Score: 0.014843
Epoch 121/500, Train Loss: -6.0210, Val Loss: -5.7737, Recon MSE: 0.000952, Probing Acc: 0.0693, Score: 0.013731
Epoch 122/500, Train Loss: -6.0300, Val Loss: -5.6226, Recon MSE: 0.000951, Probing Acc: 0.0643, Score: 0.014786
